vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,energy_mean,energy_std,throughput_mean,throughput_std,j_per_token_mean,j_per_token_std,tpot_mean,tpot_std,cv_throughput,n_reps,cei
int4_awq,1,512,B,444.04133434444446,1.5153160194529727,111.00028444444445,0.5250252302332542,2.0546368147836698,0.010682323779882172,9.034888888888888,0.05078203240137951,0.004729944908348707,3,0.03538526276305463
int4_awq,1,512,C,843.7374172777778,2.856036850423043,92.61054222222224,0.15011310759014146,3.03193889825685,0.002213248139180315,11.718666666666666,0.03292415526630825,0.0016209073393603879,3,0.020006604221099164
int4_awq,4,64,A,132.5004749047619,1.674902446229301,338.88670476190475,2.227365172736851,0.5551991695152724,0.0067770794116894404,2.9680952380952377,0.017222039352404947,0.0065725953288777025,3,0.39979662336657523
int4_awq,4,64,B,209.89925333333335,6.993862743787953,258.77762380952385,1.6375499880411104,0.8199189583333334,0.02731977634292169,3.8676190476190477,0.025166114784235905,0.006328020034863727,3,0.20672318665554143
int4_awq,4,64,C,761.6193940952381,8.32334811458714,108.96943809523809,0.522531819230986,3.135238644726405,0.030974226368546517,9.236190476190478,0.05376314900074298,0.004795214404742511,3,0.022764992239335397
int4_awq,4,256,A,529.2056026666667,4.043010834291751,319.73961904761904,0.36247855962868275,0.7709411468716437,0.007959496903548913,3.22,0.007423074889580895,0.0011336679536567264,3,0.27164932257379437
int4_awq,4,256,B,618.8154414761906,2.4953973087637817,284.4337095238095,0.9478237865089392,0.9121543744478254,0.005595769310985696,3.5638095238095233,0.009511897312113304,0.0033323187610067658,3,0.20424250049809864
int4_awq,4,256,C,1309.9592071428572,9.264687001225216,192.8636523809524,0.38631018052626365,1.703522615608942,0.011926929099291156,5.324761904761904,0.02459190730223827,0.002003022216769034,3,0.07415422189765744
int4_awq,4,512,A,824.3011567619047,17.430943593521892,282.99731904761904,1.7322719030771545,0.9488888603214537,0.022538684286877626,3.70047619047619,0.019184035312841772,0.006121160118784273,3,0.19534413289411245
int4_awq,4,512,B,836.3383064761905,10.731197488820294,263.1919523809524,2.0439897203270587,1.022266843462278,0.012084736077712082,3.8333333333333335,0.03104747297657717,0.007766155848749225,3,0.1686326750977731
